Id,name,relicTime,type,metiral,author,descriptoin,imageUrl,moreUrl,museum,location,simpleTime
1,  teapot in shape of a seal wrapped in cloth         Not Currently on View   Image Licensing   , 1993 ,teapot, Yixing Stoneware , Chinese ,"       Provenance      Dr. K. S. Lo, Hong Kong, China;donated to the Indianapolis Museum of Art in 1995      ",http://collection.imamuseum.org/artwork/25684/0_preview.jpg,http://collection.imamuseum.org/artwork/25684/,imamuseum,United States
2,  teapot with squirrel and grapevine motif         Not Currently on View   Image Licensing   , 1993 ,teapot, Yixing Stoneware , Chinese ,"       Provenance      Dr. K. S. Lo, Hong Kong, China;donated to the Indianapolis Museum of Art in 1995      ",http://collection.imamuseum.org/artwork/25686/0_preview.jpg,http://collection.imamuseum.org/artwork/25686/,imamuseum,United States
3,  teapot with bamboo and circular motifs         Not Currently on View   Image Licensing   , 1993 ,teapot, Yixing Stoneware , Chinese ,"       Provenance      Dr. K. S. Lo, Hong Kong, China;donated to the Indianapolis Museum of Art in 1995      ",http://collection.imamuseum.org/artwork/25687/0_preview.jpg,http://collection.imamuseum.org/artwork/25687/,imamuseum,United States
4,  teapot with bamboo motif         Not Currently on View   Image Licensing   , 1993 ,teapot, Yixing Stoneware , Chinese ,"       Provenance      Dr. K. S. Lo, Hong Kong, China;donated to the Indianapolis Museum of Art in 1995      ",http://collection.imamuseum.org/artwork/25688/0_preview.jpg,http://collection.imamuseum.org/artwork/25688/,imamuseum,United States
5,  teapot with bamboo and rock image         Not Currently on View   Image Licensing   , 1993 ,teapot, Yixing Stonenware , Chinese ,"       Provenance      Dr. K. S. Lo, Hong Kong, China;donated to the Indianapolis Museum of Art in 1995      ",http://collection.imamuseum.org/artwork/25690/0_preview.jpg,http://collection.imamuseum.org/artwork/25690/,imamuseum,United States
6,  cylindrical teapot with ring in lid handle         Not Currently on View   Image Licensing   , 1993 ,cylindrical, Yixing Stoneware , Chinese ,"       Provenance      Dr. K. S. Lo, Hong Kong, China;donated to the Indianapolis Museum of Art in 1995      ",http://collection.imamuseum.org/artwork/25691/0_preview.jpg,http://collection.imamuseum.org/artwork/25691/,imamuseum,United States
7,  auspicious teapot with marbled spots         Not Currently on View   Image Licensing   , 1993 ,auspicious, Yixing Stoneware , Chinese ,"       Provenance      Dr. K. S. Lo, Hong Kong, China;donated to the Indianapolis Museum of Art in 1995      ",http://collection.imamuseum.org/artwork/25692/0_preview.jpg,http://collection.imamuseum.org/artwork/25692/,imamuseum,United States
8,  tea caddy and scoop         Not Currently on View   Image Licensing   , 1993 ,tea, Yixing Stoneware , Chinese ,"       Provenance      Mr. K. S. Lo, Hong Kong, China;donated to the Indianapolis Museum of Art in 1995      ",http://collection.imamuseum.org/artwork/53776/0_preview.jpg,http://collection.imamuseum.org/artwork/53776/,imamuseum,United States
9,  whirling dancer over drum  Eastern Han dynasty       Currently on View in H214   Image Licensing   , Eastern Han dynasty ,whirling, earthenware with paint , Chinese ,"       Gallery Label      Music and dance are prominent in China's history because they were used as means of achieving harmony in life. Rhythm was important in dance or ritual, and bells, chimes and drums were among the primary instruments. A special dance was popular all over China during the Han dynasty, especially at entertainment festivities. As part of the performance, the dancers actually whirled among low drums on the ground and rapidly tapped the drums with their feet.      ",http://collection.imamuseum.org/artwork/11608/0_preview.jpg,http://collection.imamuseum.org/artwork/11608/,imamuseum,United States
10,  noble lady  Tang dynasty       Currently on View in C205   Image Licensing   , Tang dynasty ,noble, earthenware with paint , Chinese ,"       Gallery Label   Provenance      Because of its size, this was probably part of an elaborate tomb for a person of high status. Typical of some of the finest art in China, a realistic image was pushed into the realm of abstraction. Whether viewed from the front or sides, a graceful harmony is achieved by the simple curves that form her eyes, eyebrows, cheeks, hairline, coiffure and garment folds.   (Kaikodo Gallery, New York, New York); purchased by the Indianapolis Museum of Art, Indianapolis, Indiana in 1996.      ",http://collection.imamuseum.org/artwork/79821/0_preview.jpg,http://collection.imamuseum.org/artwork/79821/,imamuseum,United States
11,  tomb guardian  Tang dynasty       Currently on View in K306.p1   Image Licensing   , Tang dynasty ,tomb," earthenware with lead glaze, ink and gold ", Chinese ,"       Gallery Label   Related Text   Provenance      The curled, right-hand fingers and the bend of the back appear naturalistic, but the exaggerated facial features create a fierce appearance. Noticing how little the lead glaze ran reveals the superior control of the firing process. The bull gives scale to the size of this powerful figure and suggests a derivation from the Buddhist guardian of the south, which was the preferred direction for doors, whether imperial or tomb.   Indianapolis Museum of Art: Highlights of the Collection (2005) This figure's alert, defensive posture expresses great energy. His raised left hand would have grasped a lance or pike. Though his fierce face looks rather naturalistic, the curled, curving brow evokes this tomb guardian's superhuman force. He stands on a bull, which implies his power, but also establishes his kinship with a deity that came to China from India with Buddhism; known as Virudhaka in Sanskrit, he is the guardian of the south. South was the most auspicious orientation for palaces as well as tombs.During the Tang dynasty, ceramic tomb figures were fired either glazed or unglazed, then painted. This example, arguably the finest of its kind, combines both techniques, and the sculpting, glazing, and painted face are all of the highest quality. The degree of detail, such as the folded fingers of his right hand, the realistic posture, and the fluttering cloth under his armor, is virtually unique. The maker's mastery of the firing process is evident in the handling of the three-colored lead glaze, which was allowed to run on the bull's flank but remains contained in the separate areas of the guardian's garment. Traces of gold on the buckles of his armor indicate that the figure was made for a person of very high status.   (Eskenazi Oriental Art, Ltd., London, England); {1} purchased by the Indianapolis Museum of Art in 1997 (1997.1). {2}{1} Its early provenance is identified in IMA Historical Files as having been in a West Coast collection and having come from a famous dealer in London. For information on Eskenazi Oriental Art, Ltd., see the exhibition catalog Eskenazi: Twenty-Five Years, Eskenazi Oriental Art, New York, 12 June-12 July, 1998. See also the interview of Giuseppe Eskenazi in Orientations 26.1, 1995, 105-107.{2} See ""Art of Asia Acquired by North American Museums, 1997-8,"" Archives of Asian Art, volume 51, 1998-1999. 105-118 (illustration 14), and ""Principales Acquisitions des Musees en 1997,"" Gazette des Beaux-Arts, March 1998, p. 40 (illustration 165). IMA Temporary Receipt No. 8760.      ",http://collection.imamuseum.org/artwork/50922/0_preview.jpg,http://collection.imamuseum.org/artwork/50922/,imamuseum,United States
12,  offering-scarf         Not Currently on View   Image Licensing   , 1700s ,offering-scarf, silk damask , Tibetan ,"       Gallery Label   Provenance      This exquisite silk damask offering-scarf depicts the Dharmaraja (King of Religion) prayer in the main field. It was commissioned by Jun Wang during the reign of Emperor Kangxi, who ruled from 1662 to 1722. The border of the scarf is filled with the Eight Auspicious Buddhist Symbols, the Eight Objects That Bring Good Fortune and the Seven Jewels of Royal Power.   purchased by the Indianapolis Museum of Art (1998).      ",http://collection.imamuseum.org/artwork/54495/0_preview.jpg,http://collection.imamuseum.org/artwork/54495/,imamuseum,United States
13,  striding dragon  Unknown       Not Currently on View   Image Licensing   , Five dynasties ,striding, stone with traces of pigments ,  Unknown  ,"       Related Text   Provenance      Indianapolis Museum of Art: Highlights of the Collection (2005) With claws turned sideways and a muscular tail winding around its extended leg, this majestic dragon strides haughtily, mouth open in pursuit of a jewel. This dramatic pose does not appear before the Tang dynasty, which immediately preceded the brief Five Dynasties era. Long associated with good things for agriculture, including the water of wells, springs, rivers, and rain, by the Tang dynasty dragons had also come to symbolize the emperor.Carved in relief from a large block of stone, this splendid creature is architectural in scale. Traces of the original pigments are still visible: gold on the eye, red in the mouth, and blue on the body. In China, the blue dragon is associated with the east, which suggests this slab may have come from the east wall of a tomb.Transverse grooves on the underside of the dragon's upper lip reveal an influence that arrived with Buddhism, specifically, from the depiction of a mythical Indian aquatic animal called a makara. The orblike disk with sinuous projections in front of the dragon is a motif that first appeared in the Five Dynasties period and became practically ubiquitous in later art, especially on ceramics and textiles.Our Western dragons represent greed. However, the Chinese dragon is different. It represents the vitality of the swamps. . . . That's a lovely kind of dragon, one that yields the bounty of the waters, a great glorious gift.-Folklorist Joseph Campbell, 1988   (J.J. Lally & Co., Oriental Art, New York); {1} purchased by the Indianapolis Museum of Art, Indianapolis, Indiana, in 1999 (1999.1). {2}{1} In the IMA Historical File a document indicates that this object was purchased by J.J. Lally & Co. ""in Hong Kong from a dealer, 1996."" For information on James J. Lally and J.J. Lally and Company, see Souren Melikian, ""James Lally and the Booming Chinese Market,"" International Herald Tribune, January 31-February 1, 1987. Lally opened his gallery in 1986. {2} See exhibition catalogue, Hou-Mei Sung, Decoding Messages: The Symbolic Language of Chinese Animal Painting, Cincinnati Art Museum, Cincinnati, Ohio, October 9, 2009-January 3, 2010, no. 45 (illustration). IMA Temporary Receipt No. 9130/1.      ",http://collection.imamuseum.org/artwork/79703/0_preview.jpg,http://collection.imamuseum.org/artwork/79703/,imamuseum,United States
14,  butter cup  Qianlong       Not Currently on View   Image Licensing   , Qing dynasty ,butter, porcelain with underglaze blue , Chinese ,null,http://collection.imamuseum.org/artwork/32110/0_preview.jpg,http://collection.imamuseum.org/artwork/32110/,imamuseum,United States
15,"  Hotei and Child 布袋と子供図  Hanabusa Itchō 英一蝶 (Japanese, 1652-1724)       Not Currently on View   Image Licensing   ", Edo ,Hotei, ink and color on silk ,"  Hanabusa Itchō 英一蝶 (Japanese, 1652-1724)  ","       Gallery Label      布袋と子供図 Hotei, or Budai in Chinese, was a monk from Mt. Siming in China. Normally pictured with a large round belly, a staff in one hand and a sack with all his belongings in the other, he was known for his carefree wandering. In Zen Buddhism he symbolized enlightened innocence, and in Japan he became one of the Seven Gods of Good Fortune. Here Hotei and a child excitedly look up into the sky at a beautiful long-tailed bird (Sankōchō, Japanese paradise-flycatcher). Itchō has changed Hotei's staff into an umbrella that is strikingly decorated with a crane and waves. Itchō's good-natured wit and skilled brush create a simple yet lovely and harmonious vignette.      ",http://collection.imamuseum.org/artwork/54825/0_preview.jpg,http://collection.imamuseum.org/artwork/54825/,imamuseum,United States
16,"  Matsuchiyama, San'ya Moat, Night Scene  Utagawa Hiroshige 歌川広重 (Japanese, 1797-1858)       Not Currently on View   Image Licensing   ", Edo ,"Matsuchiyama,", color woodblock print ,"  Utagawa Hiroshige 歌川広重 (Japanese, 1797-1858)  ","       Gallery Label      真乳山•山谷堀夜景 from the series 100 Famous Views of Edo 名所江戸百景 Matsuchiyama was a small hill near the San'ya Moat, a canal that ended at the Nihon Dike, which led directly to the gates of the Yoshiwara pleasure quarters. A geisha walks behind her lantern-bearing attendant. The water behind her seems to glow, while at the same time it reflects the stars in the velvety night sky above. The grain of the woodblock adds a fascinating texture to the sky and to the water below.      ",http://collection.imamuseum.org/artwork/50405/0_preview.jpg,http://collection.imamuseum.org/artwork/50405/,imamuseum,United States
