index,Title,Author,Description,relicTime,moreURL,imageURL
1,figures (bronze),China,figure of a prowling animal.,Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18416,https://discover-old.durham.ac.uk/primo-explore/img/icon_other.png
2,figures (bronze),China,"bronze bird, probably part of a finial.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18461,"https://iiif.durham.ac.uk/iiif/trifle/5a/d9/00/5ad900da8efc8b43831ff5446aef3c56/77ef23705371e6080b79482f52e44dd8.jp2/full/!400,400/0/default.jpg"
3,vessels (bronze),China,Foot of a vessel in the shape of a bear. Bronze with traces of gilding and inlaid with turquoise.,Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18462,"https://iiif.durham.ac.uk/iiif/trifle/18/7a/14/187a14f15c8f472e8b60028c3349c43a/3bf794c75f242b5ef89559ba69cacd02.jp2/full/!400,400/0/default.jpg"
4,figures (bronze),China,"bronze frog, gilded.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18418,"https://iiif.durham.ac.uk/iiif/trifle/91/5a/b4/915ab468e29970521c374adc6f5b39c4/7f9bd3f013e877c3d4bdeb46469213ef.jp2/full/!400,400/0/default.jpg"
5,figures (bronze),China,"figure of a kneeling animal, Ordos type.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18415,"https://iiif.durham.ac.uk/iiif/trifle/89/aa/ef/89aaef7d6a085239be50178a89321017/8a60cfe96b1d3dbdf59cc651eb8d4496.jp2/full/!400,400/0/default.jpg"
6,Plaque (bronze),China,bronze plaque in the shape of a horned bull's head. Ordos type.,Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18414,https://discover-old.durham.ac.uk/primo-explore/img/icon_other.png
7,figures (bronze),China,"bronze figure of a standing horse of heavy build, with arched tail. Ordos type.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS18412,"https://iiif.durham.ac.uk/iiif/trifle/06/b9/25/06b925c07c7ee9a4eafb9aeabbf015fa/3dedbf6c4956e6c4a54a6c975fe9cbbd.jp2/full/!400,400/0/default.jpg"
8,mirrors (brass),China,"Chinese brass mirror, circular with perforated central boss and slightly raised broad rim. In the central design are the animals of the four directions, the sun and moon, encircled by an inscription meaning ""The mirror made in the largest factory is truly of the highest quality. On it is an immortal who never grows old. When thirsty, he drinks from the Jade spring, when hungry, he eats fruit of the Jujube tree. He floats over the seas and roams over the world..the metal or stone. This mirror is to the..a natural treasure indeed."". The central knob would have had a cord looped through it from which it could be held.",Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS22061,https://discover-old.durham.ac.uk/primo-explore/img/icon_other.png
9,Fitting; handles (bronze),China,"Bronze fitting in the form of animal masks with compelling, square eyes and enormous horns, the nose turns downwards to form a hook. Had probably holded a ring through the hook and used as handles for furniture.",language-related concepts – Chinese – Zhou – Eastern Zhou – Warring States; Han dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS9559,https://discover-old.durham.ac.uk/primo-explore/img/icon_other.png
10,bowls (Bronze bowl with everted rim and two sets of double line engraving on the inside. Crack and hole to the side.),China,"Bronze bowl with a flat base and sloping sides, the rim is everted. On the inside of the bowl are two bands of double concentric rings finely engraved, one is near the centre and the other is further out on the flat base. There is some damage, in one place there is a crack which starts at the rim and runs down the side, there is also a seperate hole in the side of the bowl. A sticker is attached which reads 'Korean rice bowl' and an accompanying label states that this piece is from a sale from 'an old tomb in Korea'. The style of the piece means that it could originate in either Korea or China.",Proto - Three Kingdoms Period; Three Kingdoms Period (Korea); Han dynasty; Silla Dynasty,http://discover-old.durham.ac.uk/permalink/f/gg7aof/44DUR_ADLIB_DS21947,"https://iiif.durham.ac.uk/iiif/trifle/97/84/40/978440c492e5608395657111cac06447/130040efad73131bb65d21caae8152bc.jp2/full/!400,400/0/default.jpg"
